text,Date
"Apple skips Super Bowl, posts Mac 30th anniversary ad on YouTube",2/7/2014
"Early movers: CI, GOOG, AAPL, IBM, GPS, MCO & more",2/7/2014
Apple faces interesting challenge from Android: McNealy   ,2/7/2014
Apple accelerates buyback,2/7/2014
Apple repurchased $14 billion of its stock: WSJ,2/7/2014
Apple s policies frustrating users?,2/8/2014
Apple takes $14 billion bite of stock via buyback,2/8/2014
Apple buyback may soothe critics,2/8/2014
Apple shareholders should reject Icahn s buyback proposal: Proxy advisor,2/8/2014
Apple buys back $14B of its shares,2/8/2014
Apple CEO: Google wasn t committed to Motorola,2/8/2014
Google worth more than Exxon. Apple next?,2/8/2014
Apple s iOS 7.1 update reportedly coming in March,2/8/2014
Apple complains of  patent trolls,2/8/2014
Apple to announce another huge buyback?   ,2/8/2014
Samsung Won't Get New Trial But Judge Koh Does Slap Apple for Nationalistic Appeal,2/8/2014
Apple may be working on tablet-laptop  large iPad-like  hybrid device,2/10/2014
Apple to Release iOS 7.1 in March and Other…,2/10/2014
"Apple board votes no to Icahn plan, ISS advises",2/10/2014
Icahn abandons Apple share plan,2/10/2014
"Narendra Modi asks students to create an Apple Inc, a Google Inc in India",2/10/2014
"iOS 7.1 to reportedly ship in March, alongside rumoured new Apple TV",2/10/2014
"Apple Inc will release its much-anticipated iOS 7.1 update in March, as per news reports.",2/10/2014
"Flappy Bird creator removes game from Apple App Store, Google Play",2/10/2014
"Early movers: MCD, AAPL, GMCR, AOL, TM, S & more",2/10/2014
ISS Recommends Apple Shareholders Vote Against Icahn Proposal,2/10/2014
Apple loses bid to block antitrust monitor in ebook case,2/11/2014
"US Court backs Apple e-book monitor, within limits",2/11/2014
Icahn retreats from Apple stock buyback battle,2/11/2014
"Apple iPhone 5c 16GB available online for Rs 36,899",2/11/2014
Three things Apple needs to do right now,2/11/2014
Apple working on tablet-laptop hybrid device?,2/11/2014
"First NaMo tea stall in Silicon Valley: Pros from MS, Cisco, Apple join hands",2/11/2014
Apple loses latest bid to put e-books antitrust monitor on hold,2/11/2014
Video: How Icahn lost the battle-but won the Apple war,2/11/2014
"Early movers: S, CVS, AAPL, GOOG, MMC, BCS & more",2/11/2014
Apple Stuck With E-Book Antitrust Monitor for Time Being,2/11/2014
"The Apple iPhone 5c is selling at Rs 37,950, and there is no Rs 5,000 cut",2/12/2014
"Apple iWatch to be simpler than expected, has 200 people working on it: Report",2/12/2014
"Apple cuts iPhone 5C price by Rs 5,000",2/12/2014
Apple could switch to Sony sensors for front camera for new iPhone slated to roll out as early next year.,2/12/2014
Apple Inc eyeing Sony camera sensors for new iPhone 6,2/12/2014
Apple loses bid to remove antitrust monitor following e-book row,2/12/2014
Sony in talks to expand Apple deal,2/12/2014
"Apple, Time-Warner in talks over new Apple TV device: report",2/13/2014
"Apple, Time Warner Cable in Apple TV talks: Report",2/13/2014
Android extend gains over Apple iPhone  Windows Phone third,2/13/2014
Apple may release a large-screen iPhone this year,2/13/2014
Apple may release a large screen iPhone in 2014,2/13/2014
Apple in conflict mineral crackdown,2/13/2014
Apple supplier review uncovers fewer child labor cases,2/13/2014
New Apple TV Box in April? With Time Warner C…,2/13/2014
Apple iPhone 6: First leaked images surface online,2/13/2014
Apple  Sony working on camera deal: Report,2/13/2014
A new  faster Apple TV could be announced in April: Report,2/13/2014
Create an Apple  Google in India: Modi tells students in Chennai,2/13/2014
Lenovo: Goal is to surpass Apple  Samsung,2/13/2014
Android extends gains on Apple  WP8 is third,2/13/2014
Apple targets 'conflict mineral' suppliers,2/13/2014
Apple may release large-screen iPhone | Smartphones overtake feature phones,2/13/2014
IDC: Apple may release large-screen iPhone this year,2/13/2014
How to fix the Apple TV,2/13/2014
Apple begins publicising which suppliers may be sourcing minerals from conflict zones such as DR Congo,2/13/2014
Apple surpasses Android in business activations,2/13/2014
Relax: Apple Innovation Is Fine,2/13/2014
Smartphone sales to slow; Samsung  Apple to introduce cheaper models: Gartner,2/13/2014
Apple Continues Hiring Spree to Develop iWatch,2/13/2014
Apple may release a large-screen iPhone,2/13/2014
Airtel brings 4G to Bangalore  but limits it to Apple iPhone 5s and 5c,2/14/2014
Cramer s Six in 60: PCLN  AAPL  CAB & more,2/14/2014
Comcast deal a blow to Apple TV and Netflix,2/14/2014
Apple goes after conflict minerals   ,2/14/2014
Apple says supplies don t come from war zones,2/14/2014
Apple supplier review shows fewer child labour cases,2/14/2014
Leaked Apple iPhone 6 images fake?,2/14/2014
Bharti Airtel launches 4G services for Apple iPhone 5S  5C users in Bangalore,2/14/2014
Airtel  Apple launch 4G mobile services in Bangalore,2/14/2014
IPL auction: Rishi Dhawan  the apple of Kings XI Punjab s eyes,2/14/2014
Apple and Samsung Fail to Work Out Deal Ahe?,2/14/2014
Top U.S. hedge funds cling to eBay  Apple in fourth quarter,2/15/2014
A sneek peek into Apple s first retail store in Brazil,2/15/2014
Apple  Samsung settlement talks fail,2/15/2014
Apple  Samsung head to court after mediation talks fail,2/15/2014
Apple needs more cash,2/15/2014
First Apple store In South America opens in Rio de Janeiro,2/15/2014
Apple  Google rejecting apps with  Flappy  in title: Report,2/16/2014
Apple s M&A chief met with Tesla s Musk: report,2/16/2014
First Apple store In South America opens in Rio?,2/17/2014
Flap no more: Google  Apple rejecting flapp?,2/17/2014
Apple Prepping Sensors That Predict Heart A?,2/17/2014
Apple and Google app stores rejecting submissions with  Flappy  word,2/17/2014
Apple reportedly working on a device that could help predict heart attacks,2/17/2014
Apple planning to buy electric car pioneer Tesla?,2/17/2014
Apple  Google clamp down on Flappy Bird clones; reject games with  Flappy  in the name,2/17/2014
Apple  Google cracking down on  Flappy Bird  clones,2/18/2014
Report: Apple dealmaker met with Tesla s Musk,2/18/2014
Apple opens its first store in Brazil  a key market,2/18/2014
Huawei pokes fun at Apple  Samsung,2/18/2014
Tata India s most valuable brand; Apple on top globally,2/18/2014
Apple looking at cars  medical devices for growth - report,2/18/2014
Apple looking at cars  medical devices: report,2/18/2014
Apple s new device may predict heart attacks,2/18/2014
Apple s new device may predict heart attacks: Report,2/18/2014
Apple Eyes Cars  Medical Devices and Other ?,2/18/2014
Report: Apple exploring medical  car tech,2/18/2014
Apple opens its first store in Brazil,2/18/2014
Why Apple University matters more than ever,2/18/2014
Watch: Huawei trolls Apple and Samsung  teases its lineup for MWC 2014,2/18/2014
Apple And Google Have Had It With  Flappy Bird  Clones,2/18/2014
What Apple can and should learn from GE,2/18/2014
Tata named India s most valuable brand  Apple retains top global spot: Survey,2/18/2014
Apple M&A exec met with Musk: report,2/18/2014
Tesla shares hit new high as Apple rumor swirls,2/18/2014
Could Cars Be in Apple s Future?,2/18/2014
Apple takes the Google route  explores cars  medical devices for future growth,2/18/2014
iDrive: Could Electric Cars Be in Apple s Future?,2/18/2014
Apple Inc. looks at cars for growth as revenues from iPhones  iPads slow,2/19/2014
Apple Inc is reportedly in talks with Tesla Motors to acquire the Model S electric car maker.,2/19/2014
Apple to debut iTunes festival in US at SXSW,2/19/2014
Apple  Google crack down on  Flappy  clones,2/19/2014
Tesla Motors closes at record after Apple merger rumor surfaces,2/19/2014
What s next for Apple Inc.: Cars  medical devices?,2/19/2014
Apple Inc.: What s next?,2/19/2014
Apple is looking at cars and medical devices to diversify its sources of revenue as growth from iPhones and iPads slow  according to a San Francisco Chronicle report.,2/19/2014
Why messaging services could pose a threat to Apple  Google,2/19/2014
Why messaging apps could pose a threat to Apple  Google,2/19/2014
Apple Patents Activity Tracker in Headphones,2/19/2014
Facebook s WhatsApp acquisition bigger than any Google  Apple  Microsoft deal,2/20/2014
What would Apple Inc. s iCar look like? It s fun to dream,2/20/2014
Samsung trashes Apple again in latest Galaxy commercials,2/20/2014
Facebook s WhatsApp acquisition bigger than Google  Apple  Microsoft have ever done,2/20/2014
Google s biggest deal  Motorola  stood at $12.5 bn  while Apple has never done deal above $1 bn.,2/20/2014
Rumors have been swirling since meeting between Apple s top executive and the CEO of electric car maker Tesla this week.,2/20/2014
Facebook  Paper  dips low in Apple s top 100 free app chart,2/20/2014
It s kind of fun to think about a car made by Apple Inc. that brought us iPhone and iPad.,2/20/2014
What Apple  iCar  may look like,2/20/2014
Apple staging first iTunes Festival in US at SXSW from March 11 to 15,2/20/2014
Samsung mocks Apple s iPad Air and iPhone 5s,2/20/2014
Apple s iTunes Festival to make US at South by Southwest,2/20/2014
Samsung mocks Apple in new Galaxy ads,2/20/2014
Apple iWatch to feature flexible AMOLED display  arrive in H2 2014: Report,2/20/2014
How Apple  iCar  may look like,2/20/2014
Fiona Apple to Star in French Superhero Show ?,2/20/2014
Tesla Tamps Down Apple Acquisition Rumors,2/20/2014
Tesla CEO confirms talks with Apple - Bloomberg TV,2/20/2014
Apple looks a lot like Microsoft: Pro,2/20/2014
Tesla CEO confirms Apple talks  says deal  unlikely,2/21/2014
Apple looks an awful lot like Microsoft: Pro,2/21/2014
Analyst downgrades Apple after 10 years,2/21/2014
Apple to make iCars? Tesla CEO confirms talks,2/21/2014
Apple Inc.  the maker of iPhone and iPad  had shown interest in the electric car company.,2/21/2014
Apple founder Steve Jobs will appear on a US postage stamp next year,2/21/2014
Apple releases iOS 7.0.6 and 6.1.6 to patch?,2/22/2014
Apple s wearables will be for fitness,2/22/2014
Apple says security flaw could allow hackers to beat iPhone encryption,2/22/2014
Major iOS security flaw could put your iPhone at risk; Apple releases update,2/22/2014
Apple acquires app testing startup Burstly,2/22/2014
Apple  Samsung Fail to Settle Before March Trial,2/22/2014
iProblem: Apple Admits Products Vulnerable to Hackers,2/22/2014
Apple Confirms Burstly Buy,2/22/2014
Apple Buys Burstly  Owner of App Testing Pl?,2/22/2014
Apple Releases Updates for iOS 7  iOS 6,2/22/2014
Video: Tesla CEO meetings with Apple confirmed,2/22/2014
The Smartphone App Wars Are Over  and Apple Won,2/22/2014
Apple Issues Fixes to Prevent Encryption Hack,2/22/2014
Apple says hackers can beat iPhone encryption,2/22/2014
Apple Inc. finds major software flaw  iPhone encryption  compromised,2/22/2014
The flaw in Apple Inc. software for mobile devices could allow hackers to intercept email.,2/22/2014
A major flaw in Apple Inc software for mobile devices could allow hackers to intercept email and other communications that are meant to be encrypted  the company said in a Friday afternoon announcement.,2/22/2014
Apple admits flaw in iPhone  iPad security,2/22/2014
Apple released software patches and an update for the current version of iOS for iPhone 4 and later  5th-generation iPod touches  and iPad 2 and later.,2/22/2014
Apple Inc. iPhone security  compromised  after major software flaw found,2/22/2014
