Date,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_obvm,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
9/20/2013,46.32,47.6,45.74,47.49,115467362,154830045.4,115467362,25237620.6,0.176584125,81865715.68,4.6058E-09,4852171.968,504.2248283,1.404248712,47.35693953,38.93606047,43.1465,1,0,44.707,46.256,43.158,0,0,47.49,39.64,1,0,2.378693373,2.334890287,0.043803086,44.47026669,42.09157331,46.79914671,36.00377085,13.75526419,1.219704433,0.726108374,0.493596059,0.863526527,26.08395129,130.4604067,-0.4865,216.7906759,244.3300299,-27.53935401,43.4125,36.525,35.1775,30.995,100,4,96,76.46750649,71.5873024,43.34934214,58.34755379,98.21428571,96.2400646,-1.785714286,3.998294118,3.284036538,3.231264323,24.22181533
9/23/2013,47.28,47.55,46.29,47.19,75263181,134065581.1,-75263181,10135969.4,0.145765192,13705866.02,4.73062E-09,3316543.857,501.0395798,1.393945233,47.87013451,39.08686549,43.4785,0,0,44.99033333,46.55633333,43.42433333,0,0,47.49,39.64,0,0,2.419452647,2.351802759,0.067649888,44.8886872,42.46923455,46.65010025,33.67918929,12.86715629,1.231141199,0.739845261,0.491295938,0.860028956,26.2143981,117.9325438,0.4715,206.4852635,238.1599735,-31.67471004,43.6325,36.525,35.0275,30.995,96,4,92,73.01896727,64.81447053,43.43339333,61.88177559,93.34415584,96.71854532,-6.655844156,4.406029412,-0.631711939,-0.633715682,23.43709129
9/24/2013,48.51,49.66,48.16,48.45,136528350,-51481739,136528350,29240233.1,0.078836159,20218548.48,6.33519E-09,3169938.56,501.0395798,1.470806288,48.6292977,39.0387023,43.834,0,0,45.49633333,47.10933333,43.88333333,0,0,48.45,39.64,1,0,2.524327261,2.38630766,0.138019602,45.43658147,42.91225421,47.30191113,39.88629991,11.32369403,1.25646744,0.677074041,0.579393399,0.862513493,26.29201854,144.6478113,0.206,199.011201,231.1420265,-32.13082543,44.7225,37.605,35.035,30.995,100,8,92,77.85812551,71.68981254,43.79029123,62.0297169,84.66413181,92.07419112,-15.33586819,5.097647059,2.670057216,2.63503326,26.73293225
9/25/2013,49.23,49.54,48.46,49.46,87739575,-8996268.556,87739575,30794478.1,0.165107207,28321414.38,5.76363E-09,5474424.704,511.4843677,1.443605839,49.3190238,39.3309762,44.325,1,0,45.97033333,47.49333333,44.44733333,0,0,49.46,40.55,1,0,2.65829652,2.440705432,0.217591089,46.05556894,43.39727242,47.90716409,37.7351356,10.71297991,1.253552398,0.709591474,0.543960924,0.871682596,26.32482255,135.7623838,-0.725,192.7766593,223.5583869,-30.78172767,44.86,37.63,35.0325,30.995,100,4,96,81.00854402,72.86082216,44.32593776,71.28506286,97.24517906,91.75115557,-2.754820937,5.596529412,2.084623323,2.063192376,29.37483652
9/26/2013,50.01,50.6,49.5,50.39,98101250,135385528.5,98101250,47408980,0.186032374,-74548574,4.93799E-09,3673644.628,511.4843677,1.421919707,50.17096793,39.46303207,44.817,1,0,46.486,48.022,44.95,0,0,50.39,41.28,1,0,2.807152247,2.513994795,0.293157452,46.72240449,43.91525224,48.79900787,40.89896431,10.09948349,1.283449883,0.73006993,0.553379953,0.887194983,26.35973994,140.5826664,0.223,187.6707344,215.8491751,-28.17844075,45.445,38.1,35.0325,31.09,100,4,96,83.5024636,72.75497913,44.99643103,70.06648325,97.42962056,93.11297715,-2.570379437,6.147941176,1.880307319,1.86284806,31.80748104
9/27/2013,50.3,51.28,49.86,51.24,81315312,137378576.8,81315312,60813936.2,0.233542185,-11435188.14,4.82606E-09,3216266.329,520.1123041,1.421782585,51.11777792,39.51222208,45.315,1,0,47.12133333,48.68433333,45.55833333,0,0,51.24,41.29,1,0,2.959593034,2.603114443,0.356478591,47.41741918,44.45782615,49.81748807,41.39750701,9.378996269,1.235996327,0.711202938,0.524793388,0.908035735,26.48122341,134.1704495,-0.565,192.9734958,209.9986828,-17.02518697,45.8325,38.44,34.9475,31.29,100,12,88,85.50924099,73.15334427,45.76418686,72.9563526,99.5480226,98.07427408,-0.451977401,6.569264706,1.686842628,1.672773434,34.03086581
9/30/2013,50.14,51.6,49.8,50.23,99855519,24587396.63,-99855519,57906156.2,0.22220329,-280683.04,5.66823E-09,-596607.0813,520.1123041,1.448798115,51.63618115,39.88781885,45.762,0,0,47.84633333,49.33833333,46.35433333,0,0,51.24,41.78,0,0,2.964729341,2.675437422,0.289291919,47.85012392,44.88539458,50.85022487,39.30140936,8.546671229,1.246119734,0.683370288,0.562749446,0.924309267,26.48199939,113.1976696,-1.452,200.033433,205.8200382,-5.786605201,46.6325,38.6,34.9475,31.29,96,8,88,73.28684174,69.68862673,45.87411841,66.40355567,85.05997819,94.01254045,-14.94002181,6.960558824,-1.971116315,-1.990801927,31.38896155
10/1/2013,49.97,51.03,49.45,50.42,98043025,-29807853.94,98043025,58525578.7,0.226464536,-13716724.66,4.44331E-09,-1597410.877,522.0796809,1.458169678,52.11531675,40.26368325,46.1895,0,0,48.445,49.794,47.096,0,0,51.24,41.78,0,0,2.95012412,2.730374762,0.219749358,48.24548947,45.29536535,51.37051236,36.25962016,9.599667412,1.240180587,0.740857788,0.499322799,0.935517054,26.44421636,96.7086104,-3.6795,204.8901978,202.8326234,2.057574393,46.9625,38.6,35.72,31.945,92,4,88,74.09069955,70.59027864,46.00982616,62.47984714,87.13195202,90.57998427,-12.86804798,6.853176471,0.378260004,0.3775464,31.88595344
10/2/2013,50.13,51.1,49.95,50.28,62728500,-4388878.564,-62728500,44328369.3,0.209278125,-1856350.95,3.76263E-09,196680.8347,520.6300348,1.436157558,52.42689501,40.80210499,46.6145,0,0,48.986,50.343,47.629,0,0,51.24,42.51,0,0,2.893893543,2.763078518,0.130815025,48.55849109,45.66459755,51.87752376,34.53385631,9.050602231,1.191670399,0.763546798,0.428123601,0.940015773,26.26804541,90.9584226,-1.5445,208.4538376,201.0094998,7.444337796,47.09,38.66,36.405,32.6,88,4,84,72.24241598,70.46656677,46.05242234,59.83744484,85.60523446,85.93238822,-14.39476554,6.762882353,-0.277667592,-0.278053804,31.51974889
10/3/2013,50.47,50.72,49.06,49.18,81886331,-96775139.04,-81886331,29746134.3,0.14000651,20034300.56,3.82448E-09,-1965643.782,520.6300348,1.452146304,52.54673516,41.33426484,46.9405,0,0,49.376,50.817,47.935,0,0,51.24,42.51,0,0,2.729110117,2.756284838,-0.027174721,48.65410785,45.92499773,51.23235543,31.71407936,12.68935406,1.179947461,0.761821366,0.418126095,0.932635168,26.19270434,66.35260477,-1.7105,208.0580236,200.0392051,8.018818482,47.3425,38.785,36.4675,32.6,84,4,80,58.91756772,68.43746965,45.48443057,54.71906572,73.60959651,82.11559433,-26.39040349,6.338382353,-2.187748608,-2.212034693,28.64242741
